MESH2_ID,図名・漢字,図名・よみ,号数
684136.000,,,
684137.000,,,
684027.000,,,
684120.000,,,
684126.000,,,
684127.000,宗谷岬,そうやみさき,稚内3号-2
684017.000,,,
684110.000,船泊,ふなどまり,稚内16号-3
684114.000,,,
684115.000,野寒布岬,のしゃっぷみさき,稚内8号-1
684116.000,富磯,とみいそ,稚内4号-3
684117.000,宗谷,そうや,稚内4号-1
684210.000,,,
684211.000,,,
684007.000,,,
684100.000,礼文岳,れぶんだけ,稚内16号-4
684104.000,,,
684105.000,稚内,わっかない,稚内8号-2
684106.000,声問,こえとい,稚内4号-4
684107.000,モイマ山,もいまやま,稚内4号-2
684200.000,知来別,ちらいべつ,稚内4号東-4
684201.000,,,
674077.000,,,
674170.000,香深,かふか,天塩13号-3
674171.000,,,
674172.000,,,
674174.000,,,
674175.000,上勇知,かみゆうち,天塩5号-1
674176.000,樺岡,かばおか,天塩1号-3
674177.000,曲淵,まがりぶち,天塩1号-1
674270.000,鬼志別,おにしべつ,枝幸13号-3
674271.000,猿払,さるふつ,枝幸13号-1
674272.000,,,
674067.000,,,
674160.000,,,
674161.000,鴛泊,おしどまり,天塩13号-2
674162.000,雄忠志内,おちゅうしない,天塩9号-4
674164.000,夕来,ゆうくる,天塩5号-4
674165.000,兜沼,かぶとぬま,天塩5号-2
674166.000,沼川,ぬまかわ,天塩1号-4
674167.000,下豊別,しもとよべつ,天塩1号-2
674260.000,エタンパック山,えたんぱっくさん,枝幸13号-4
674261.000,浅茅野,あさじの,枝幸13号-2
674262.000,浅茅野台地,あさじのだいち,枝幸9号-4
674151.000,仙法志,せんほうし,天塩14号-1
674152.000,鬼脇,おにわき,天塩10号-3
674154.000,,,
674155.000,豊徳,ほうとく,天塩6号-1
674156.000,豊富,とよとみ,天塩2号-3
674157.000,豊幌,とよほろ,天塩2号-1
674250.000,上猿払,かみさるふつ,枝幸14号-3
674251.000,安別,やすべつ,枝幸14号-1
674252.000,浜頓別,はまとんべつ,枝幸10号-3
674253.000,頓別,とんべつ,枝幸10号-1
674254.000,,,
674144.000,,,
674145.000,稚咲内,わっかさかない,天塩6号-2
674146.000,幌延,ほろのべ,天塩2号-4
674147.000,本流,ほんりゅう,天塩2号-2
674240.000,豊神,ほうしん,枝幸14号-4
674241.000,イソサンヌプリ,いそさんぬぷりやま,枝幸14号-2
674242.000,下頓別,しもとんべつ,枝幸10号-4
674243.000,斜内,しゃない,枝幸10号-2
674244.000,目梨泊,めなしどまり,枝幸6号-4
674134.000,,,
674135.000,音類,おとんるい,天塩7号-1
674136.000,振老,ふらおい,天塩3号-3
674137.000,安牛,やすうし,天塩3号-1
674230.000,上問寒別,かみといかんべつ,枝幸15号-3
674231.000,松音知,まつねしり,枝幸15号-1
674232.000,中頓別,なかとんべつ,枝幸11号-3
674233.000,ポロヌプリ山,ぽろぬぷりざん,枝幸11号-1
674234.000,枝幸,えさし,枝幸7号-3
674235.000,,,
674124.000,,,
674125.000,天塩,てしお,天塩7号-2
674126.000,更岸,さらきし,天塩3号-4
674127.000,雄信内,おのっぷない,天塩3号-2
674220.000,問寒別,といかんべつ,枝幸15号-4
674221.000,敏音知,ぴんねしり,枝幸15号-2
674222.000,上頓別,かみとんべつ,枝幸11号-4
674223.000,歌登,うたのぼり,枝幸11号-2
674224.000,下幌別,しもほろべつ,枝幸7号-4
674225.000,徳志別,とくしべつ,枝幸7号-2
674115.000,,,
674116.000,丸松,まるまつ,天塩4号-3
674117.000,泉源,せんげん,天塩4号-1
674210.000,天塩中川,てしおなかがわ,枝幸16号-3
674211.000,ペンケ山,ぺんけざん,枝幸16号-1
674212.000,小頓別,しょうとんべつ,枝幸12号-3
674213.000,本幌別,ほんほろべつ,枝幸12号-1
674214.000,志美宇丹,しびうたん,枝幸8号-3
674215.000,乙忠部,おっちゅうべ,枝幸8号-1
674216.000,,,
674217.000,,,
674105.000,,,
674106.000,遠別,えんべつ,天塩4号-4
674107.000,天塩清川,てしおきよかわ,天塩4号-2
674200.000,佐久,さく,枝幸16号-4
674201.000,筬島,おさしま,枝幸16号-2
674202.000,音威子府,おといねっぷ,枝幸12号-4
674203.000,屋根棟山,やねむねやま,枝幸12号-2
674204.000,上徳志別,かみとくしべつ,枝幸8号-4
674205.000,上音標,かみおとしべ,枝幸8号-2
674206.000,音標,おとしべ,枝幸4号-4
674207.000,,,
664176.000,歌越,うたこし,羽幌1号-3
664177.000,東野,ひがしの,羽幌1号-1
664270.000,共和,きょうわ,名寄13号-3
664271.000,小車,おぐるま,名寄13号-1
664272.000,恩根内,おんねない,名寄9号-3
664273.000,函岳,はこだけ,名寄9号-1
664274.000,黒岩山,くろいわやま,名寄5号-3
664275.000,シアッシリ山,しあっしりやま,名寄5号-1
664276.000,中幌内,なかほろない,名寄1号-3
664277.000,北見幌内,きたみほろない,名寄1号-1
664370.000,,,
664371.000,,,
664166.000,初山別,しょさんべつ,羽幌1号-4
664167.000,大成,たいせい,羽幌1号-2
664260.000,茶古志山,ちゃこしやま,名寄13号-4
664261.000,小車岳,おぐるまだけ,名寄13号-2
664262.000,紋穂内,もんぽない,名寄9号-4
664263.000,雄木禽,おききん,名寄9号-2
664264.000,仁宇布,にうぷ,名寄5号-4
664265.000,オシトツ,おしとつ,名寄5号-2
664266.000,上雄武,かみおうむ,名寄1号-4
664267.000,雄武,おうむ,名寄1号-2
664360.000,沢木,さわき,紋別13号-4
664361.000,,,
664152.000,,,
664153.000,焼尻島,やぎしりとう,羽幌10号-1
664154.000,,,
664155.000,,,
664156.000,天塩有明,てしおありあけ,羽幌2号-3
664157.000,正修,せいしゅう,羽幌2号-1
664250.000,遠別川上流,えんべつがわじょうりゅう,名寄14号-3
664251.000,苦頓別山,くとんべつやま,名寄14号-1
664252.000,美深,びふか,名寄10号-3
664253.000,智恵文,ちえぶん,名寄10号-1
664254.000,ピヤシリ山,ぴやしりやま,名寄6号-3
664255.000,幌内越峠,ほろないごしとうげ,名寄6号-1
664256.000,毛鐘尻山,けがねしりやま,名寄2号-3
664257.000,トーウツ岳,とううつだけ,名寄2号-1
664350.000,興部,おこっぺ,紋別14号-3
664351.000,沙留,さるる,紋別14号-1
664352.000,,,
